TIME,GEO,S_ADJ,NA_ITEM,UNIT,Value,Flag and Footnotes
2018Q3,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2018Q3,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.3,
2018Q3,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.9,
2018Q3,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",1,
2018Q4,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2018Q4,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2018Q4,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2018Q4,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.5,
2018Q4,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.5,
2018Q4,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",1.9,
2019Q1,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2019Q1,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2019Q1,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2019Q1,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.5,
2019Q1,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.7,
2019Q1,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",2.2,
2019Q2,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2019Q2,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2019Q2,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2019Q2,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.3,
2019Q2,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.5,
2019Q2,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",1,
2019Q3,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2019Q3,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2019Q3,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2019Q3,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.3,
2019Q3,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.6,
2019Q3,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",1.3,
2019Q4,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2019Q4,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2019Q4,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2019Q4,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.1,
2019Q4,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.2,
2019Q4,European Union - 27 countries (from 2020),Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",0.3,
2020Q1,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2020Q1,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2020Q1,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
